32138, 小鎮, 羅以青任教的國中, 教師辦公室
32148, 小鎮, 羅以青任教的國中, 教師休息室
32158, 小鎮, 羅以青任教的國中, 會議室
32168, 小鎮, 羅以青任教的國中, 教具室
32178, 小鎮, 羅以青任教的國中, 班級教室
32188, 小鎮, 羅以青任教的國中, 保健室
32198, 小鎮, 羅以青任教的國中, 學生活動中心
32139, 小鎮, 羅以青任教的國中, 體育館
32149, 小鎮, 羅以青任教的國中, 圖書室
32159, 小鎮, 羅以青任教的國中, 校園走廊
32179, 小鎮, 羅以青任教的國中, 操場
32189, 小鎮, 羅以青任教的國中, 餐廳
32199, 小鎮, 莫天睿的公寓, 起居室
32140, 小鎮, 莫天睿的公寓, 浴室
32150, 小鎮, 李承翰的住家, 起居室
32160, 小鎮, 李承翰的住家, 浴室
32170, 小鎮, 王庭瑋和媽媽的公寓, 起居室
32180, 小鎮, 王庭瑋和媽媽的公寓, 浴室
32190, 小鎮, 教師研習中心, 研習教室
32200, 小鎮, 教師研習中心, 洗手間
32141, 小鎮, 羅以青祖父母的養老公寓, 起居室
32151, 小鎮, 羅以青祖父母的養老公寓, 浴室
32161, 小鎮, 社區圖書館, 閱覽室
32171, 小鎮, 霍布斯咖啡廳, 用餐區
32181, 小鎮, 社區活動中心, 多功能教室
32191, 小鎮, 社區活動中心, 會議室
32201, 小鎮, 社區活動中心, 走廊
32142, 小鎮, 社區公園, 休憩區
32152, 小鎮, 研究所考試補習班, 教室
32162, 小鎮, 羅家雜貨店, 商店
32193, 小鎮, 羅以青姐姐的住家, 起居室
32203, 小鎮, 羅以青姐姐的住家, 浴室
32174, 小鎮, 羅建國和王淑華的住家, 起居室
32184, 小鎮, 羅建國和王淑華的住家, 浴室
32194, 小鎮, 羅以青的單人套房, 起居室
32204, 小鎮, 羅以青的單人套房, 浴室
32172, 小鎮, 心理諮商中心, 諮商室A
32182, 小鎮, 心理諮商中心, 諮商室B
32192, 小鎮, 心理諮商中心, 諮商室C
32202, 小鎮, 心理諮商中心, 諮商室D
32143, 小鎮, 心理諮商中心, 男廁
32153, 小鎮, 心理諮商中心, 女廁
32163, 小鎮, 心理諮商中心, 等候室
32173, 小鎮, 心理諮商中心, 茶水間
32183, 小鎮, 心理諮商中心, 庭院
32205, 小鎮, 捷運站, 月台
32215, 小鎮, 捷運站, 售票大廳
32225, 小鎮, 捷運站, 商店街
32235, 小鎮, 捷運站, 便利商店
32245, 小鎮, 捷運站, 洗手間
32255, 小鎮, 捷運站, 出口廣場
32265, 小鎮, 媽祖廟, 正殿
32275, 小鎮, 媽祖廟, 後殿
32206, 小鎮, 媽祖廟, 廟埕
32216, 小鎮, 媽祖廟, 功德堂
32226, 小鎮, 媽祖廟, 洗手間
32236, 小鎮, 媽祖廟, 庭院
32246, 小鎮, 張雅文夫婦的公寓, 主臥室
32256, 小鎮, 張雅文夫婦的公寓, 客房
32266, 小鎮, 張雅文夫婦的公寓, 客廳
32276, 小鎮, 張雅文夫婦的公寓, 廚房
32207, 小鎮, 張雅文夫婦的公寓, 浴室
32217, 小鎮, 張雅文夫婦的公寓, 陽台
