32285, 小鎮, 羅以青任教的國中, 教師辦公室, sp-A
32295, 小鎮, 羅以青任教的國中, 教師休息室, sp-A
32305, 小鎮, 羅以青任教的國中, 教師休息室, sp-B
32315, 小鎮, 羅以青任教的國中, 會議室, sp-A
32286, 小鎮, 羅以青任教的國中, 教具室, sp-A
32296, 小鎮, 羅以青任教的國中, 班級教室, sp-A
32306, 小鎮, 莫天睿的公寓, 起居室, sp-A
32316, 小鎮, 莫天睿的公寓, 起居室, sp-B
32287, 小鎮, 李承翰的住家, 起居室, sp-A
32297, 小鎮, 李承翰的住家, 起居室, sp-B
32307, 小鎮, 王庭瑋和媽媽的公寓, 起居室, sp-A
32317, 小鎮, 王庭瑋和媽媽的公寓, 起居室, sp-B
32288, 小鎮, 教師研習中心, 研習教室, sp-A
32298, 小鎮, 教師研習中心, 研習教室, sp-B
32308, 小鎮, 羅以青祖父母的養老公寓, 起居室, sp-A
32318, 小鎮, 羅以青祖父母的養老公寓, 起居室, sp-B
32289, 小鎮, 羅以青姐姐的住家, 起居室, sp-A
32299, 小鎮, 羅以青姐姐的住家, 起居室, sp-B
32309, 小鎮, 羅建國和王淑華的住家, 起居室, sp-A
32319, 小鎮, 羅建國和王淑華的住家, 起居室, sp-B
32290, 小鎮, 羅以青的單人套房, 起居室, sp-A
32300, 小鎮, 羅以青的單人套房, 起居室, sp-B
32310, 小鎮, 捷運站, 售票大廳, sp-A
32320, 小鎮, 捷運站, 售票大廳, sp-B
32291, 小鎮, 捷運站, 月台, sp-A
32301, 小鎮, 捷運站, 月台, sp-B
32311, 小鎮, 媽祖廟, 正殿, sp-A
32321, 小鎮, 媽祖廟, 正殿, sp-B
32292, 小鎮, 媽祖廟, 廟埕, sp-A
32302, 小鎮, 媽祖廟, 廟埕, sp-B
32312, 小鎮, 張雅文夫婦的公寓, 主臥室, sp-A
32322, 小鎮, 張雅文夫婦的公寓, 主臥室, sp-B
32293, 小鎮, 張雅文夫婦的公寓, 客房, sp-A
32303, 小鎮, 張雅文夫婦的公寓, 客房, sp-B
32313, 小鎮, 心理諮商中心, 諮商室A, sp-A
32323, 小鎮, 心理諮商中心, 諮商室A, sp-B
32294, 小鎮, 心理諮商中心, 諮商室B, sp-A
32304, 小鎮, 心理諮商中心, 諮商室C, sp-A
32314, 小鎮, 心理諮商中心, 諮商室C, sp-B
32324, 小鎮, 心理諮商中心, 諮商室D, sp-A
